"network","author_username","post_text"
"twitter","dajmeister","Follow Google's lead: 1Gbps internet across the nation.  100% penetration.  Net neutrality."
"twitter","ImagiNacional","Cure Huntington's Parkinson's and Alzheimer's diseases."
"twitter","thesupermikey","i think a new apollo program is the way to go! private money just does not seem to be enough to explore space"
"twitter","julzmon","I think we should try and fix things at home before going on another mission"
"twitter","Jamion","Expansion of humans to other worlds will lead, to less greenhouse gasses, and more resources for all. Colonize Luna and Ceres."
"twitter","mattjoc","We should focus on not completely destroying our planet. Lets fund the hell out of alternative energy research!"
"twitter","ketira","re: Grand Challenges, Educational Software:  something maybe like what Anne McCaffrey thought of in _Pegasus in Flight_?"
"twitter","WhatsTheJFor","how about the economy?"
"twitter","TimValenta","Terraforming of Mars: http://bit.ly/AFybC"
"twitter","inventorloo","Next Apolo mission!"
"twitter","Nagleess","why not do them all this is the USA afterall"
"twitter","inventorloo","human genome project!"
"twitter","oihorse","Each home generating all power needed w/extra dumped back into communal grid for business, emergency, supplemental use"
"twitter","JBenn1680","Lower Nat. Defecit, Reduce Oil Consumption(alternate fuel sources), Increase Homeland Defense & Bring our Troops home"
"twitter","curtisbridges","Residential green technologies (solar/wind/geothermal) generating 10% of residential power."
"twitter","curtisbridges","100 mpg car average. Or better yet, full electric cars &gt;10% of new cars."
"twitter","berrylively","it's time for obama and dems to fight back against republicans as well teabaggers coz we voted for change not wimpy leadership."
"twitter","BleedingQuasar","human genome project is my request"
"twitter","kmazanec","make college tuition fully tax deductable"
"twitter","MagnetBootGuy","Superior Shock Mitigation Technology Footwear for our soldiers and woking men and women.  www.damps.com/"
"twitter","MagnetBootGuy","Superior Shock Mitigation Technology Footwear for our soldiers and working men and women. www.damps.com/"
"twitter","johnjkoch","we should focus on sustainable, not just clean energy sources. Cheap, clean energy = resources to solve other problems"
"twitter","MerryAKogut","Keep manned Mars program; support birth control; research repairs to spinal probs; support solar & wind tech; stop the 2 wars!"
"twitter","rebeccaliceaga","The nxt Apollo prgrm or human genome project? Respond w/a Grand Challenge R Nation shld address: http://bit.ly/b1Fyq9  (via"
"twitter","ThatGuyDiego","the next Apollo in my opinion I always took pride in the space program as an American"
"twitter","achambe","my grand challenge is to figure out how to pay off our debt. Step one, tune into Dave Ramsey."
"twitter","kmazanec","pay for college in exchange for peacecorps/ americorps service"
"twitter","jeremycorn","ENERGY! Where's the Manhatten Project for sustainable/renewable power?"
"twitter","tbecki","human genome project""  you got to be kidding. What weak minded freak decided that????"
"twitter","gahard","It is critical that the government invest in our internet infrastructure and support national broadband and net neutrality ..."
"twitter","RGriesinger","let's focus our resouces on education and stop wreckless spending on secondary issues. Our youth = our future"
"twitter","twit_HugeInCash","MAKE-MONEY-ON-TWITTER  : http://ad.ly/publisher/refer/1998485528 (plz RT) www.visitpenang.gov.my"
"twitter","jamespgagnon","another great challenge to address - human genome mapping style project for the Human Brain."
"twitter","fordiman","http://EnergyFromThorium.com  There's your challenge."
"twitter","SERobinsonJr","we need to break light speed and interstellar travel."
"twitter","KevinKapinos","How about a solar powered computer"
"twitter","NullFear","Apollo!"
"twitter","jamespgagnon","The next grand challenge we should address is how to REFORMAT our entire education system for the 21st century."
"twitter","gahard","which are important issues facing us as the internet becomes an essential tool for data deliver and communication."
"twitter","technotheory","On what tech/science challenges should the  focus? Let them know this week: http://bit.ly/aNxg7g ("
"twitter","almosthenryford","Grand Challenge: measure and actually control financial risk"
"twitter","briankwoodard","Keep people in space, because one of these days *bang zoom* right to the moon!"
"twitter","darkspider2042","genome helps out everone more then going back in to space or to the moon  http://myloc.me/5WgSS"
"twitter","timdiggerm","Mars Colonization. Obvious, I know, but such a good idea."
"twitter","dyrut","low cost, high speed national rail projects that service all of the US."
"twitter","nancycda","Make railroads like super highways run on electricity. We need a powerful alternative to air transportation."
"twitter","energyaction","Apollo Project of 100%  for  (via ) Respond w/a Grand Challenge: http://bit.ly/b1Fyq9"
"twitter","finalstart","Hopefully the big men will create peace on Earth"
"twitter","how_clever","next big project? Real Health Care, this time for people, not corporations."
"twitter","nspicker101","Genome takes the front seat.Next is the Apllo.One leads to other"
"twitter","daiconrad","Fusion. Nuclear Fusion."
"twitter","cjupdike","A national high school graduation of 98%, mission impossible?  impossible to measure maybe?"
"twitter","TrinityCLT","Have a great idea about what the future of tech should be in the U.S.A. then follow  and let them know http://bit.ly/cDnPK3"
"twitter","CreativeOK","The next Apollo program or human genome project? Respond w/a Grand Challenge our Nation should address: http://bit.ly/b1Fyq9"
"twitter","mathowie","I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid tech) as an engineering challenge."
"twitter","CJohanSmith","Ever felt  should take policy feedback via the web? Now's a chance to actually do it: http://bit.ly/adwhgcel"
"twitter","dd0s","Can't we find a way to turn nuclear waste into fuel for nuclear energy? It'd h... http://bit.ly/b0JCxa"
"twitter","eleventeen","SUSTAINABLE biofuel infrastructure (ie algae-based biodiesel), municipal-scale solar power."
"twitter","tamarin2087","rural and low income urban areas need better access to Internet and technology. One solution to many problems."
"twitter","ezek1012","Wikipedia whitehouse. Ever felt  should take policy feedback via the web? Now you can: http://bit.ly/adwhgcel via/"
"twitter","AtonalTensor","The ""next Apollo program"" is a 20th century idea as out-of-date as the Encyclopedia Britannica."
"twitter","soulfulmess","SUSTAINABLE biofuel infrastructure (ie algae-based biodiesel), municipal-scale solar power.  http://bit.ly/9gLcpa"
"twitter","Revkin","Re  query on grand challenges for US: An energy quest, from household conservation to lab breakthroughs: http://j.mp/eQuest"
"twitter","jmcpheron","Back to the moon, then Mars"
"twitter","RobertCristie","AWESOME! RT RT  my grand challenge is to figure out how to pay off our debt. Step 1, tune into Dave Ramsey"
"twitter","digiphile","The next Apollo program or human genome project?""- http://bit.ly/b1Fyq9 Learn more: http://expertlabs.org |"
"twitter","matro","get ready to tell  what our next big technological achievement should be, right here on Twitter"" - http://whoa.cc/5g"
"twitter","StevenHodson","how about some honest transparency and discussion about ACTA or does entertainment ind. own the government?"
"twitter","anildash","Can we teleport visible matter by 2025? It seems like it should be possible!"
"twitter","jhilker","The Grand Challenge: Restore our faith in the Barrack Obama we thought we elected."
"twitter","JonTatum","shoot for Mars. The scientific advancements along the way will be enormous. The payoff will come in many unexpected ways."
"twitter","sheppy","Land people on Mars; that project will inevitably lead to half the other stuff people want to happen coming true."
"twitter","me3dia","The White House is now using Twitter () to gather policy suggestions from the public w/help of http://tr.im/VupY"
"twitter","byeongchul","Expert Lab for Complete DNA sequencing of every type of cancer ... RT  's Grand Challenge: http://bit.ly/b1Fyq9"
"twitter","VV4Change","Choose a Supreme Court nominee who will stand up for everyday Americans and oppose efforts to expand the power of corporations."
"twitter","markzip","Encourage unencumbered municipal fibre to open local peering points. Grand challenge indeed!"
"twitter","mgirard","The next Apollo program"
"twitter","director59","increased benefits for disabled persons, stem cell research, increase Social Security benefits so (cont) http://tl.gd/rel7k"
"twitter","ChrisSpinato","Apollo program for renewable energy. Let us be bold: we intend to have a 75% majority of cars in us on hybrid engines in 5 yrs"
"twitter","Followorthy","http://bit.ly/chZHFi anildash:  Can we teleport visible matter by 2025? It seems like it should be possible! http://bit.ly/cJ0XKl"
"twitter","thalkowski","rebuild national passenger rail system.  Transportation system is crucial national resource."
"twitter","WyatteCrowe","fund constelation!!!"
"twitter","tsayre","We should try to achieve energy independence!"
"twitter","bwillard","1 part  more people like + 1 part good parenting + 30 mins exercise/day = end of childhood obesity"
"twitter","Miss_CRT","We need to get a man on Mars...NASA has the power, knowledge, and technology to conquer the Martian divide by 2020...."
"twitter","dom3792","transparent solar ray absorption technology, so all windows can be used as solar panels"
"twitter","theatermonkey","Put your efforts into computing and artificial intelligence. With breakthroughs from that, all else will follow."
"twitter","MsStefaPie","High-speed Internet access for all citizens! If Finland can do it, why not us? Access to information is power!"
"twitter","46Bit","Hence the price of space missions would gradually decrease a lot, as well as their possible scope vastly expanding."
"twitter","Followorthy","http://bit.ly/chZHFi craignewmark: RT RT Ever felt  should take policy feedback via web? Now's chance to ..."
"twitter","KatetheRunner","A big challenge for science and technology will be in bringing folk together. We need an universal translator!"
"twitter","valthonis","Take us back to the moon.  Our space program is the last great technological bastion that hasn't been killed... yet."
"twitter","46Bit","Establish an automated mining colony on an asteroid in the belt/elsewhere to get raw materials to build spacecraft in space."
"twitter","ticklemeozmo","Patent/copyright reform: without, solar cells, lightweight vests and software will stifle under biased and archaic laws."
"twitter","Hillenblog","Idea   A giant pneumatic tube system, moves people & products at high speeds around the country."
"twitter","nmellendorf","Design a car that gets 100 mpg, doesn't use a toxic acid-filled battery and doesn't ""plug in."" Condo/apt. people can't plug in."
"twitter","JimDeVico","Put something at Ground Zero within 4 years"
"twitter","GarmonEstes","Our government facilities should be leading examples of environmental friendliness: Native landscaping, energy efficient"
"twitter","cipher3d","Grand Challenge: Construct an interface that directly links the human brain and computer. New communication methods, AI, & more."
"twitter","JimDeVico","Manned mission to Mars that can do the trip in 90 days - not six months."
"twitter","DamienMcKenna","Let the  know that science education needs to be kept to science, not religious indoctrination: http://bit.ly/9ouo1i"
"twitter","DamienMcKenna","Step 1: limiting what is taught as science to that which is studied using scientific principles, not just the bible"
"twitter","JimDeVico","Cure for cancer"
"twitter","JimDeVico","Space elevator"
"twitter","will8907","Personally I think the  should focus on broadband Internet for everyone in the country. It would improve a lot of things..."
"twitter","csdot","Moratorium on all oil exploration - thereby forcing greatly accelerated development of alternative sustainable power"
"twitter","CharlieDrummond","solution 1=&gt;distributed power generation & storage. solution 2=&gt;tethered orbital platform + much much more"
"twitter","will8907","The  is asking you 2 tell them what our next great scientific and technological challenges should be. Ideas? http://bit.ly/ahXKwJ"
"twitter","BenGray10","genetically alter human genes to create an army of super-human soldiers. Or maybe you've done that already, I don't know."
"twitter","edwardsdna","looking for Grand Challenges in science and technology, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
"twitter","jakotrotter","man on mars by 2020."
"twitter","MOVidato","La cuenta  (Casa Blanca, USA) esta buscando grandes retos en ciencia y tecnologia.. http://bit.ly/9ouo1i via"
"twitter","CharlieDrummond","challenge 1: practical, efficient electromechanical batteries. challenge 2: high tensile strength nanoscale metamaterials"
"twitter","conmas","The ultimate goal of human civilization is to outlive Earth. With that in mind, colonization of other planets is a must."
"twitter","surferstevens","Energy and US independence is key another Manhattan Project/Cold Fusion and or neutralizing radioactive waste"
"twitter","clarkmoody","America must lead the world effort to develop fusion power."
"twitter","Jean_ie","is looking for Challenges in Science & Technology. Fire up your imagination http://bit.ly/9ouo1i"
"twitter","NastyNR","Instead of worrying about space where the avg person will never get to go why don't you worry more about the Americans here"
"twitter","YoelyJakubo","Ppl got gr8 ideas they never share hoping 2 patent it an never do. Cre8 an 'open-patent' site where ppl will vote n market"
"twitter","YoelyJakubo","Ppl have gr8 ideas they never share hoping 2 patent it but never do. Cre8 an 'open-patent' site where ppl will vote n b secure."
"twitter","nmellendorf","Car that gets 100 mpg, doesn't use a toxic acid-filled battery and doesn't ""plug in."" Condo/apt. people can't plug in."
"twitter","JimDeVico","develop usable fusion technology."
"twitter","JimDeVico","build the world's largest particle accelerator here in the US."
"twitter","JonMacN","Land on Saturn's moon Enceladus. If life exists, leave it there. Not that it is a threat to us, but we may be a threat to it. :)"
"twitter","sviatek","is very good congratulions..."
"twitter","CON_vert","I think a ""Grand Challenge"" we should address is:How do WE Destroy Progressivism,before it destroys US?(hey,you asked 4 ideas:)"
"twitter","JonMacN","Land on Saturn's moon Enceladus.  If life exists, leave it there.  Not that it is a threat to us, but we may be a threat to..."
"twitter","CMarPA","is looking 4Grand Challenges in science & technology. Fire up your imagination: http://bit.ly/9ouo1i"
"twitter","DisasterStories","Give  Your Feedback! - Expert Labs http://retwt.me/1MOvj (via"
"twitter","NowPublic","Grand Challenges Twitter Feedback: Tweet Your Ideas  http://bit.ly/bJY1PI"
"twitter","Catmandudu","Cheap as dirt desalinization plants for the thirsty world."
"twitter","farhanvsgnk","Mantap ni!  bikin sayembara science & technology via Twitter  http://bit.ly/9ouo1i (via"
"twitter","ezwages","nuclear power and electric cars across the land...we should only need oil for lubrication."
"twitter","Profparker","reverse engineer the human brain (I know already an NAS grand challenge)  nice one henry"
"twitter","threeparts","Grand Challenges? How about making sure everyone in your country can feed themselves before wasting more money in space?"
"twitter","NastyNR","How bought fix the economy and create more jobs and help those that deserve it and work hard instead of just the rich"
"twitter","aarronbittick","how about a nationwide 4G contract with this way we have broadband data coverage for PCs everywhere"
"twitter","Geeklinger","Respect the true definition of science--make its progress a friendly, international effort, and avoid progress for its own sake."
"twitter","glh92","Invest in our space program so that we can go beyond Low Earth Orbit and explore more of the solar system before 2050"
"twitter","poorservant","My  What weapon can be developed and given to unborn babies to protect them from being ripped apart by abortionist tools?"
"twitter","dougdagger","Develop fusion reactor before 2050.  (via Yeah, I like how you think."
"twitter","tweeting_man","Trees that take in multiples of C02 Interactive rooms Auto-driving cars Better roads US express train"
"twitter","glh92","Develop fusion reactor before 2050."
"twitter","glh92","Send humans to Mars. Set up a permanent presence on the red planet by the year 2025-2035."
"twitter","aarronbittick","or how about making the FDA and drug companies give away needed medicine for free"
"twitter","Mainesailor","clean, plentiful water around the world. Erradicate cancer. And next year star trek transporters"
"twitter","aarronbittick","or how about the government  gives utilities to everyone, and cover it with taxes"
"twitter","aarronbittick","or helping Toyota with their issues like you helped GM"
"twitter","glh92","Invest in alternative energy sources. Invest in nuclear energy. Invest in electric vehicle technology."
"twitter","mysteryoftime","Safe way to create anti-mater) Orbit the sun and utilize the intense nuclear power to auto harness abundant supp. in the vac."
"twitter","Portension","Grand Challenges Twitter Feedback: Tweet Your Ideas  http://ow.ly/173k2d"
"twitter","gabe0949","visit krugacleanenergy.com for power clean energy products and stay green"
"twitter","magnify","YouTube - Tell the  What Grand Challenges in Science & Tech We Should Focus On! http://bit.ly/bA3JEX"
"twitter","aarronbittick","how about making moon colonization happen, rather than a possibility"
"twitter","thomaspmsheehy","Invest in space based solar power for energy security and national security"
"twitter","lovingsgirl","The  looking for Grand Challenges in sci and tech, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
"twitter","AnotherBros","turn off space program & divert spending to well drilling in countries w/o clean water. Let's try the science of prioritizing."
"twitter","twitt3rnews","Grand Challenges Twitter Feedback: Tweet Your Ideas  http://ow.ly/173kMT"
"twitter","aarronbittick","instead of wasting $ chasing pot, legalize it, tax it, help boom economy by %30. Just saying LOL"
"twitter","NowPublic","Grand Challenges Twitter Feedback: Tweet Your Ideas  http://bit.ly/c1EIqH"
"twitter","glh92","Eradicate Cancer, Parkinson's and Alzheimer's by 2045-2050. Make it a goal to defeat disease."
"twitter","glh92","Set up permanent colonies on the Moon, Mars, and then set goal to go beyond our solar system by 2060-2100."
"twitter","Catmandudu","Solar powered Star Trek replicators to feed the world."
"twitter","poopaltar","I would like to find Newt Gingrich's brain"
"twitter","captic","looking for Grand Challenges in  & tech. Tweet your ideas http://bit.ly/-Q90 MT"
"twitter","mysteryoftime","Develop a new physics based propulsion system that enables exponetial efficiency and power for space travel."
"twitter","vaporware","Grand Challenges Twitter Feedback: Tweet Your Ideas : Grand Challenges Twitter FeedbackThe White House ... http://bit.ly/d35FgE"
"twitter","vaporware","Give  your Feedback on Grand Challenges in Science & Tech!: read more http://bit.ly/c1ibqp"
"twitter","CindieLou","Link from my incomplete retweet (via )  http://bit.ly/c10Om3   Grand Challenges in sci & tech"
"twitter","suhrmesa","Equation of Ignorance: http://bit.ly/aYKGl0 = http://bit.ly/_dumb _"
"twitter","QB3","is looking for your big idea.  http://promo.aaas.org/expertlabs/grandchallenges.html"
"twitter","sarasotabarbie","a SpaceStation with living walls-grow food, filter + enrich air-beautiful green space 4 long term space travel occupants"
"twitter","BrettRB","Consciousness, Non-terrestrial settlements, extra-terrestrial life, fix gravity errors according to the voyager probes"
"twitter","sarasotabarbie","an oldie, but a goodie - TERRAFORM MARS, BABY!!"
"twitter","RVnGrammy","I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid (cont) http://tl.gd/rg8l2"
"twitter","sarasotabarbie","a way to capture and store water from floods so that it can be delivered to areas of drought - kill 2 birds with 1 stone"
"twitter","paulbeard","An Earth Program akin to Space Program of 50 yrs ago. Invest in energy generation/storage/transmission/conservation"
"twitter","redco2012","How about a quest to return America to greatness, as opposed to the path we're on now? Just a thought!"
"twitter","sarasotabarbie","wireless power - trash The Grid - a power network that is not vulnerable to attack, solar flare, decay, and doesn't leak"
"twitter","lreyzin","a method for reliably doubling the average lifespan of a mouse: would certainly increase our understanding of human health"
"twitter","jeffkart","I'd like to see a 100mpg Truck/SUV (should be possible w biodiesel and hybrid tech) as an engineering challenge. /via"
"twitter","punkseed","Solar - best choice"
"twitter","hyperpape","My grand challenge is photoshopping pictures of Bush and Obama to represent how badly O has betrayed civil liberties."
"twitter","BrettRB","A free to play MMO game available online where people play to solve world problems in a fun and entertaining environment"
"twitter","captic","Grand Challenges in Science & tech: Think BIG & reply w/your idea before April, 16 http://bit.ly/-Q91"
"twitter","ShaunaCausey","Interesting: The  is looking for your ideas in science & tech, via Twitter: http://bit.ly/9ouo1i (via"
"twitter","richardfrancis","Let's make it happen RT RT  I'd like to see a 100mpg Truck/SUV (should be possible (cont) http://tl.gd/rgajt"
"twitter","sarasotabarbie","space elevator"
"twitter","soulfulmess","I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid tech)... http://bit.ly/dDg7Hg"
"twitter","soulfulmess","I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid tech)... http://bit.ly/9F1yIQ"
"twitter","humblefool","what else but Mars? (Well, I suppose that permanent near-earth space stations are also Good Things.)"
"twitter","ghsfr33d0m","Virtualization of minds to eliminate the paradigm of scarce resources. I call dibs on first grant http://bit.ly/b1Fyq9"
"twitter","Somba001","There has to be a better way for people to use portable oxygen"
"twitter","quantumquinn","Going to mars or a nearby asteroid and setting up a colony (could do some cool stuff with inflatables) would be amazing!"
"twitter","mnoreen","I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid tech) as an engineering chall ... (via"
"twitter","glh92","Honor NASA's goals and make them a reality. Improve our planet, explore the stars, and inspire Americans to higher dreams."
"twitter","ericstandlee","do we tweet GCs with  ?"
"twitter","iHawk","As a engineer with a Ph.D. for 20 years I am concerned about a missing generation of engineers to take over."
"twitter","soulfulmess","I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid tech)... http://bit.ly/dcoWzO"
"twitter","thatdonwood","Replace all our domestic coal power plants with renewable sources."
"twitter","borroff","Frankly, I think  is thinking too small with their ""grand challenges"": http://bit.ly/aiJrQW  Some of these might be &lt;10 yrs out."
"twitter","iHawk","So I am excited to see the grand challenges, something like the space program that inspired me to become an engineer."
"twitter","THSEA","Interesting:  is looking for your ideas in science & tech, via Twitter: http://bit.ly/9ouo1i (via /via"
"twitter","paradoxiq","Sustainable energy independence. It addresses national security, economic, environmental, and moral issues."
"twitter","mcarneybsa","How about a clean energy grid? Realistically we wont be getting to another life sustaining world before we screw this one up..."
"twitter","jpm25","I'd like to see a 100mpg Truck/SUV as an engineering challenge &lt;- engineering problem or production prob?"
"twitter","nobleday","how about a cure for  and  syndrome !!! There's a challenge in science."
"twitter","soulfulmess","I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid tech)... http://bit.ly/alg8NI"
"twitter","jamestsanders","Next Apollo Project!!!"
"twitter","shig23","Dear : All I want for the  is a programmable self-replicating molecular nanoassembler. OK I love you buhbye."
"twitter","mkhaund","The  ""wants to identify Grand Challenges in science and technology to inspire a new era of innovation"" http://bit.ly/daAXsH"
"twitter","cedarf","change food production so that nutritious and delicious food is cheaper than the processed junk available today"
"twitter","norsedog","End the wars on drugs, in Iraq and Afghanistan. Bring the troops home and reduce defense spending by 50%"
"twitter","Bigred138","The  is looking for Grand Challenges in STEM, via Twitter. Fire up your imagination: http://bit.ly/9ouo1i"
"twitter","rogerwyatt","Grand Challenges Twitter Feedback: Tweet Your Ideas : Grand Challenges Twitter FeedbackThe White House ... http://bit.ly/bClFjR"
"twitter","TritiaPOCCI","So what do you think about the folks and the  http://bit.ly/GRAND_CHALLENGES idea?"
"twitter","zepfanman","Get ready to tell  what our next big technological achievement should be, here on Twitter http://bit.ly/9Skuxk RT"
"twitter","colegleason","Build an An â€œexascaleâ€ supercomputer, then use it to do all the other great stuff."
"twitter","LynnBowker","Ahahaha. Yes, plz do! RT  my grand challenge is to figure out how to pay off our debt. Step one, tune into Dave Ramsey."
"twitter","SunaG","is asking for Grand Ideas from the public for science & tech.   http://bit.ly/avvX2W"
"twitter","Rosy9663","For me the major challenges are to complete DNA sequenzing and solar- and wind-energy, renewable energy. I'm from Germany though"
"twitter","matthewgevans","Internet everywhere, fastest in the world."
"twitter","SanderKwg","The White House () is crowdsourcing scientific challenges: http://bit.ly/b1Fyq9"
"twitter","fooljay","Develop technology for affordable conversion of 100% of all waste into usable energy http://nyti.ms/bHET7c (cf. Back2TheFuture)"
"twitter","soulfulmess","I'd like to see a 100mpg Truck/SUV (should be possible with biodiesel and hybrid tech)... http://bit.ly/c0CAVA"
"twitter","JohnnyFlash71","Solar Power on all homes"
